Theta,Alpha,Low_beta,High_beta,Gamma
5.738748652,2.312248049,2.910646441,1.059223937,0.7682616258
10.54551674,1.346656261,6.074687908,3.671268152,1.834155941
13.94131171,3.627500461,9.932121765,6.671916762,10.17709576
14.31121805,4.329796452,7.85176948,4.008533512,2.793219026
15.17173329,3.929481774,6.703275411,4.064895183,2.877201431
5.738748652,2.312248049,2.910646441,1.059223937,0.7682616258
10.54551674,1.346656261,6.074687908,3.671268152,1.834155941
13.94131171,3.627500461,9.932121765,6.671916762,10.17709576
14.31121805,4.329796452,7.85176948,4.008533512,2.793219026
6.604224509,5.678413503,4.891527911,4.210131457,2.416524092
11.94375277,3.445962827,2.139223736,1.190049163,0.6276807674
7.320640679,2.305369569,4.174580008,2.576063099,1.657582059
9.605005549,5.99563969,6.927530691,5.247822566,6.770593762
6.229508322,6.016085233,5.444128077,4.24557854,2.295307196
6.604224509,5.678413503,4.891527911,4.210131457,2.416524092
11.94375277,3.445962827,2.139223736,1.190049163,0.6276807674
7.320640679,2.305369569,4.174580008,2.576063099,1.657582059
9.605005549,5.99563969,6.927530691,5.247822566,6.770593762
6.229508322,6.016085233,5.444128077,4.24557854,2.295307196
6.604224509,5.678413503,4.891527911,4.210131457,2.416524092
11.94375277,3.445962827,2.139223736,1.190049163,0.6276807674
7.320640679,2.305369569,4.174580008,2.576063099,1.657582059
9.605005549,5.99563969,6.927530691,5.247822566,6.770593762
6.229508322,6.016085233,5.444128077,4.24557854,2.295307196
6.604224509,5.678413503,4.891527911,4.210131457,2.416524092
11.94375277,3.445962827,2.139223736,1.190049163,0.6276807674
7.320640679,2.305369569,4.174580008,2.576063099,1.657582059
9.605005549,5.99563969,6.927530691,5.247822566,6.770593762
6.229508322,6.016085233,5.444128077,4.24557854,2.295307196
6.604224509,5.678413503,4.891527911,4.210131457,2.416524092
11.94375277,3.445962827,2.139223736,1.190049163,0.6276807674
7.320640679,2.305369569,4.174580008,2.576063099,1.657582059
9.605005549,5.99563969,6.927530691,5.247822566,6.770593762
6.229508322,6.016085233,5.444128077,4.24557854,2.295307196
8.83411858,5.677922,3.1885852,3.138448157,2.526773083
