Theta,Alpha,Low_beta,High_beta,Gamma
,,,,
89.21716203,41.26500961,29.37471444,20.142286,15.74664388
111.4589809,39.36885584,19.01818684,8.200263855,2.085742718
85.18350099,31.55369979,16.94760755,9.651923379,4.078029359
86.80023969,30.9158724,18.12793626,12.14446116,6.149820092
83.55208692,32.73034355,19.3259598,9.766162002,4.551709663
89.21716203,41.26500961,29.37471444,20.142286,15.74664388
111.4589809,39.36885584,19.01818684,8.200263855,2.085742718
85.18350099,31.55369979,16.94760755,9.651923379,4.078029359
86.80023969,30.9158724,18.12793626,12.14446116,6.149820092
83.55208692,32.73034355,19.3259598,9.766162002,4.551709663
6.805541873,1.781903397,3.304512025,2.02935616,0.6837356743
6.420998856,3.580292207,1.103274048,0.5045339444,0.2317428006
1.222427623,1.580885105,2.108712436,1.658990089,0.9918306892
2.8661196,0.7354104188,1.909913998,2.365572339,2.209923982
5.3367392,1.266204332,2.732370455,1.947941644,0.6637830869
6.805541873,1.781903397,3.304512025,2.02935616,0.6837356743
6.420998856,3.580292207,1.103274048,0.5045339444,0.2317428006
1.222427623,1.580885105,2.108712436,1.658990089,0.9918306892
2.8661196,0.7354104188,1.909913998,2.365572339,2.209923982
5.3367392,1.266204332,2.732370455,1.947941644,0.6637830869
6.805541873,1.781903397,3.304512025,2.02935616,0.6837356743
6.420998856,3.580292207,1.103274048,0.5045339444,0.2317428006
1.222427623,1.580885105,2.108712436,1.658990089,0.9918306892
2.8661196,0.7354104188,1.909913998,2.365572339,2.209923982
5.3367392,1.266204332,2.732370455,1.947941644,0.6637830869
6.805541873,1.781903397,3.304512025,2.02935616,0.6837356743
6.420998856,3.580292207,1.103274048,0.5045339444,0.2317428006
1.222427623,1.580885105,2.108712436,1.658990089,0.9918306892
2.8661196,0.7354104188,1.909913998,2.365572339,2.209923982
5.3367392,1.266204332,2.732370455,1.947941644,0.6637830869
3.178029929,1.264704564,2.949354962,2.724997758,0.6247437827
1.517033984,1.103787202,0.3983004907,0.5121634071,0.2185775056
1.140874335,1.102062966,2.168133857,1.99052221,0.9232631349
3.662639641,1.227440355,2.190113624,1.80199239,2.362671469
2.420085265,1.270083406,2.727135101,2.483698463,0.5946807776
2.593670799,1.968611312,3.048066608,1.436166743,0.6376864544
1.024333548,0.8937451526,0.2355788623,0.2795510295,0.1554883964
1.446351813,2.434136784,1.818294296,1.172726342,0.793155738
3.463038206,0.913352269,3.326583131,3.972459354,2.709231635
2.570545302,2.00604862,2.981607117,1.370330893,0.6200223769
2.593670799,1.968611312,3.048066608,1.436166743,0.6376864544
1.024333548,0.8937451526,0.2355788623,0.2795510295,0.1554883964
1.446351813,2.434136784,1.818294296,1.172726342,0.793155738
3.463038206,0.913352269,3.326583131,3.972459354,2.709231635
2.570545302,2.00604862,2.981607117,1.370330893,0.6200223769
2.593670799,1.968611312,3.048066608,1.436166743,0.6376864544
1.024333548,0.8937451526,0.2355788623,0.2795510295,0.1554883964
1.446351813,2.434136784,1.818294296,1.172726342,0.793155738
3.463038206,0.913352269,3.326583131,3.972459354,2.709231635
2.570545302,2.00604862,2.981607117,1.370330893,0.6200223769
2.593670799,1.968611312,3.048066608,1.436166743,0.6376864544
1.024333548,0.8937451526,0.2355788623,0.2795510295,0.1554883964
1.446351813,2.434136784,1.818294296,1.172726342,0.793155738
3.463038206,0.913352269,3.326583131,3.972459354,2.709231635
2.570545302,2.00604862,2.981607117,1.370330893,0.6200223769
6.997875439,1.32506704,2.118694748,1.724903675,1.035038108
2.855354789,0.8450457673,1.088840487,0.5796282916,0.2171187166
3.442991472,1.973708996,2.129200728,1.358786497,0.9261598609
6.281377951,1.729858363,4.409283519,4.191312504,2.482645656
6.742665637,1.496217587,2.093745437,1.668828328,0.9893885111
6.997875439,1.32506704,2.118694748,1.724903675,1.035038108
2.855354789,0.8450457673,1.088840487,0.5796282916,0.2171187166
