Theta,Alpha,Low_beta,High_beta,Gamma
,,,,
85.03097924,32.75104198,23.57212188,14.73458216,10.6664552
107.4043444,37.35105954,19.58446141,9.520036035,3.704019081
80.39179252,29.85081825,15.41685038,8.633860738,3.079422573
85.74600209,31.4401212,17.15324834,16.30666309,12.06892959
82.44903879,29.26464905,19.00967182,9.851333457,5.347818276
85.03097924,32.75104198,23.57212188,14.73458216,10.6664552
107.4043444,37.35105954,19.58446141,9.520036035,3.704019081
80.39179252,29.85081825,15.41685038,8.633860738,3.079422573
85.74600209,31.4401212,17.15324834,16.30666309,12.06892959
82.44903879,29.26464905,19.00967182,9.851333457,5.347818276
85.03097924,32.75104198,23.57212188,14.73458216,10.6664552
107.4043444,37.35105954,19.58446141,9.520036035,3.704019081
80.39179252,29.85081825,15.41685038,8.633860738,3.079422573
85.74600209,31.4401212,17.15324834,16.30666309,12.06892959
82.44903879,29.26464905,19.00967182,9.851333457,5.347818276
85.03097924,32.75104198,23.57212188,14.73458216,10.6664552
107.4043444,37.35105954,19.58446141,9.520036035,3.704019081
80.39179252,29.85081825,15.41685038,8.633860738,3.079422573
85.74600209,31.4401212,17.15324834,16.30666309,12.06892959
82.44903879,29.26464905,19.00967182,9.851333457,5.347818276
4.072615284,0.6829434608,3.891920269,2.813958071,1.443425654
1.291716704,0.4054231863,1.854740486,2.481044047,2.087079764
2.971207835,1.167165198,2.485177344,3.251398041,1.17471479
2.636519303,3.894655579,4.181334085,8.478620908,10.24561238
4.392954015,0.8760507963,4.108500409,2.860975353,1.380982674
4.072615284,0.6829434608,3.891920269,2.813958071,1.443425654
1.291716704,0.4054231863,1.854740486,2.481044047,2.087079764
2.971207835,1.167165198,2.485177344,3.251398041,1.17471479
2.636519303,3.894655579,4.181334085,8.478620908,10.24561238
4.392954015,0.8760507963,4.108500409,2.860975353,1.380982674
4.072615284,0.6829434608,3.891920269,2.813958071,1.443425654
1.291716704,0.4054231863,1.854740486,2.481044047,2.087079764
2.971207835,1.167165198,2.485177344,3.251398041,1.17471479
2.636519303,3.894655579,4.181334085,8.478620908,10.24561238
4.392954015,0.8760507963,4.108500409,2.860975353,1.380982674
4.072615284,0.6829434608,3.891920269,2.813958071,1.443425654
1.291716704,0.4054231863,1.854740486,2.481044047,2.087079764
2.971207835,1.167165198,2.485177344,3.251398041,1.17471479
2.636519303,3.894655579,4.181334085,8.478620908,10.24561238
4.392954015,0.8760507963,4.108500409,2.860975353,1.380982674
4.072615284,0.6829434608,3.891920269,2.813958071,1.443425654
1.291716704,0.4054231863,1.854740486,2.481044047,2.087079764
2.971207835,1.167165198,2.485177344,3.251398041,1.17471479
2.636519303,3.894655579,4.181334085,8.478620908,10.24561238
4.392954015,0.8760507963,4.108500409,2.860975353,1.380982674
4.730809304,0.6803085126,3.242976239,3.585566367,3.082856712
2.270166854,0.5513300502,1.052651131,2.062852763,1.607610762
2.075896378,1.141991476,2.331227347,4.708517002,2.088445643
3.235317731,2.049767052,4.487879189,11.19101722,13.99492255
4.314996568,0.7113004859,3.333886973,3.491328632,2.857949857
4.730809304,0.6803085126,3.242976239,3.585566367,3.082856712
2.270166854,0.5513300502,1.052651131,2.062852763,1.607610762
2.075896378,1.141991476,2.331227347,4.708517002,2.088445643
3.235317731,2.049767052,4.487879189,11.19101722,13.99492255
4.314996568,0.7113004859,3.333886973,3.491328632,2.857949857
4.730809304,0.6803085126,3.242976239,3.585566367,3.082856712
2.270166854,0.5513300502,1.052651131,2.062852763,1.607610762
2.075896378,1.141991476,2.331227347,4.708517002,2.088445643
3.235317731,2.049767052,4.487879189,11.19101722,13.99492255
4.314996568,0.7113004859,3.333886973,3.491328632,2.857949857
4.730809304,0.6803085126,3.242976239,3.585566367,3.082856712
2.270166854,0.5513300502,1.052651131,2.062852763,1.607610762
2.075896378,1.141991476,2.331227347,4.708517002,2.088445643
3.235317731,2.049767052,4.487879189,11.19101722,13.99492255
4.314996568,0.7113004859,3.333886973,3.491328632,2.857949857
4.730809304,0.6803085126,3.242976239,3.585566367,3.082856712
2.270166854,0.5513300502,1.052651131,2.062852763,1.607610762
2.075896378,1.141991476,2.331227347,4.708517002,2.088445643
3.235317731,2.049767052,4.487879189,11.19101722,13.99492255
4.314996568,0.7113004859,3.333886973,3.491328632,2.857949857
5.615382069,1.030668839,2.378888511,3.771313215,3.512719247
1.430995452,0.6220240982,0.804353037,1.878598501,1.519546063
1.790520047,1.947249038,1.602489553,2.373693935,2.006950351
4.529959504,1.172181345,2.059018277,10.63251355,10.09984874
5.494726763,0.7562930077,2.412659207,3.777835485,3.246746925
5.615382069,1.030668839,2.378888511,3.771313215,3.512719247
1.430995452,0.6220240982,0.804353037,1.878598501,1.519546063
1.790520047,1.947249038,1.602489553,2.373693935,2.006950351
4.529959504,1.172181345,2.059018277,10.63251355,10.09984874
