Theta,Alpha,Low_beta,High_beta,Gamma
4.179479457,1.418969538,1.333503295,0.325437249,0.3184590936
2.52961757,0.7451080539,0.551446127,0.1966320209,0.1002796703
0.4068444289,0.2191987907,0.2157645529,0.09148518692,0.06431033665
0.3230129591,0.2650441698,0.1661062718,0.06972535656,0.05611035786
0.4044152638,0.2313753092,0.1814025853,0.08224389756,0.06354555357
1.753647939,0.4986485075,0.7264943438,0.3684364036,0.2668768141
0.8534921989,0.5601969847,0.3507743925,0.2955774818,0.1052841368
0.4068444289,0.2191987907,0.2157645529,0.09148518692,0.06431033665
0.3230129591,0.2650441698,0.1661062718,0.06972535656,0.05611035786
0.4044152638,0.2313753092,0.1814025853,0.08224389756,0.06354555357
1.753647939,0.4986485075,0.7264943438,0.3684364036,0.2668768141
0.8534921989,0.5601969847,0.3507743925,0.2955774818,0.1052841368
0.4068444289,0.2191987907,0.2157645529,0.09148518692,0.06431033665
0.3230129591,0.2650441698,0.1661062718,0.06972535656,0.05611035786
0.4044152638,0.2313753092,0.1814025853,0.08224389756,0.06354555357
1.753647939,0.4986485075,0.7264943438,0.3684364036,0.2668768141
0.8534921989,0.5601969847,0.3507743925,0.2955774818,0.1052841368
0.9228963976,0.2778732194,0.1019104171,0.1036413685,0.05342978569
0.3122322579,0.31585213,0.2939494116,0.07255339214,0.04717503278
0.569239164,0.2606012997,0.2678453318,0.06319588835,0.07898227199
1.919727337,0.4556946477,0.5504241704,0.3563645746,0.2478974315
1.636838768,0.9345708115,0.4213906689,0.3077334624,0.09585650221
0.9228963976,0.2778732194,0.1019104171,0.1036413685,0.05342978569
0.3122322579,0.31585213,0.2939494116,0.07255339214,0.04717503278
0.569239164,0.2606012997,0.2678453318,0.06319588835,0.07898227199
1.919727337,0.4556946477,0.5504241704,0.3563645746,0.2478974315
1.636838768,0.9345708115,0.4213906689,0.3077334624,0.09585650221
0.9228963976,0.2778732194,0.1019104171,0.1036413685,0.05342978569
0.3122322579,0.31585213,0.2939494116,0.07255339214,0.04717503278
0.569239164,0.2606012997,0.2678453318,0.06319588835,0.07898227199
