Theta,Alpha,Low_beta,High_beta,Gamma
,,,,
0.2271220595,0.4094661152,0.1302056681,0.05513188495,0.06337250707
0.3999786173,0.139299949,0.232788944,0.1156819188,0.07534334313
0.9229291545,0.4263411964,0.3129679257,0.1486454795,0.07018744593
10.63728925,2.023626424,5.613982218,1.705516308,0.3843584541
3.004510109,1.727256935,0.5112232859,0.1458725333,0.0978945391
0.5869843046,0.314453764,0.1256150681,0.07090638765,0.05742453736
0.5096966951,0.1861704126,0.1839373144,0.1207187767,0.07061609711
0.8234780161,0.3302057782,0.2271189575,0.09440886999,0.05713379229
2.931147042,1.853478236,2.014517984,0.5444866337,0.2006486715
3.044875464,1.171520186,0.67898488,0.2894386468,0.06020446672
0.5869843046,0.314453764,0.1256150681,0.07090638765,0.05742453736
0.5096966951,0.1861704126,0.1839373144,0.1207187767,0.07061609711
0.8234780161,0.3302057782,0.2271189575,0.09440886999,0.05713379229
2.931147042,1.853478236,2.014517984,0.5444866337,0.2006486715
3.044875464,1.171520186,0.67898488,0.2894386468,0.06020446672
0.5869843046,0.314453764,0.1256150681,0.07090638765,0.05742453736
0.5096966951,0.1861704126,0.1839373144,0.1207187767,0.07061609711
0.8234780161,0.3302057782,0.2271189575,0.09440886999,0.05713379229
2.931147042,1.853478236,2.014517984,0.5444866337,0.2006486715
3.044875464,1.171520186,0.67898488,0.2894386468,0.06020446672
0.5869843046,0.314453764,0.1256150681,0.07090638765,0.05742453736
0.5096966951,0.1861704126,0.1839373144,0.1207187767,0.07061609711
0.8234780161,0.3302057782,0.2271189575,0.09440886999,0.05713379229
2.931147042,1.853478236,2.014517984,0.5444866337,0.2006486715
3.044875464,1.171520186,0.67898488,0.2894386468,0.06020446672
0.5869843046,0.314453764,0.1256150681,0.07090638765,0.05742453736
0.5096966951,0.1861704126,0.1839373144,0.1207187767,0.07061609711
0.8234780161,0.3302057782,0.2271189575,0.09440886999,0.05713379229
2.931147042,1.853478236,2.014517984,0.5444866337,0.2006486715
3.044875464,1.171520186,0.67898488,0.2894386468,0.06020446672
0.5685050638,0.446611282,0.3362903335,0.1308084752,0.04969837247
0.3886992821,0.228968708,0.1907708658,0.1690152048,0.08043143512
0.8084044197,0.68804507,0.1845050247,0.112176562,0.07498623555
3.677555119,2.099141409,1.294816149,0.5456745864,0.2093680641
1.368982156,0.5216702581,0.391362351,0.2639291449,0.07883009783
0.5685050638,0.446611282,0.3362903335,0.1308084752,0.04969837247
0.3886992821,0.228968708,0.1907708658,0.1690152048,0.08043143512
0.8084044197,0.68804507,0.1845050247,0.112176562,0.07498623555
3.677555119,2.099141409,1.294816149,0.5456745864,0.2093680641
1.368982156,0.5216702581,0.391362351,0.2639291449,0.07883009783
0.5685050638,0.446611282,0.3362903335,0.1308084752,0.04969837247
0.3886992821,0.228968708,0.1907708658,0.1690152048,0.08043143512
0.8084044197,0.68804507,0.1845050247,0.112176562,0.07498623555
3.677555119,2.099141409,1.294816149,0.5456745864,0.2093680641
1.368982156,0.5216702581,0.391362351,0.2639291449,0.07883009783
0.5685050638,0.446611282,0.3362903335,0.1308084752,0.04969837247
0.3886992821,0.228968708,0.1907708658,0.1690152048,0.08043143512
0.8084044197,0.68804507,0.1845050247,0.112176562,0.07498623555
3.677555119,2.099141409,1.294816149,0.5456745864,0.2093680641
1.368982156,0.5216702581,0.391362351,0.2639291449,0.07883009783
0.5685050638,0.446611282,0.3362903335,0.1308084752,0.04969837247
0.3886992821,0.228968708,0.1907708658,0.1690152048,0.08043143512
0.8084044197,0.68804507,0.1845050247,0.112176562,0.07498623555
3.677555119,2.099141409,1.294816149,0.5456745864,0.2093680641
1.368982156,0.5216702581,0.391362351,0.2639291449,0.07883009783
0.8221252786,0.390485906,0.3882765814,0.1050856521,0.0500420457
0.4869025113,0.1362474439,0.2741967438,0.1497746306,0.1357050935
0.6490571916,0.6775000034,0.2092748064,0.1238029146,0.1043637719
6.334397703,1.142418451,1.215877845,0.7172480357,0.3089628837
1.01417323,0.5913296058,0.3858786467,0.2021171199,0.08210209541
0.8221252786,0.390485906,0.3882765814,0.1050856521,0.0500420457
0.4869025113,0.1362474439,0.2741967438,0.1497746306,0.1357050935
0.6490571916,0.6775000034,0.2092748064,0.1238029146,0.1043637719
6.334397703,1.142418451,1.215877845,0.7172480357,0.3089628837
1.01417323,0.5913296058,0.3858786467,0.2021171199,0.08210209541
0.8221252786,0.390485906,0.3882765814,0.1050856521,0.0500420457
0.4869025113,0.1362474439,0.2741967438,0.1497746306,0.1357050935
0.6490571916,0.6775000034,0.2092748064,0.1238029146,0.1043637719
6.334397703,1.142418451,1.215877845,0.7172480357,0.3089628837
1.01417323,0.5913296058,0.3858786467,0.2021171199,0.08210209541
0.8221252786,0.390485906,0.3882765814,0.1050856521,0.0500420457
0.4869025113,0.1362474439,0.2741967438,0.1497746306,0.1357050935
0.6490571916,0.6775000034,0.2092748064,0.1238029146,0.1043637719
6.334397703,1.142418451,1.215877845,0.7172480357,0.3089628837
1.01417323,0.5913296058,0.3858786467,0.2021171199,0.08210209541
0.8221252786,0.390485906,0.3882765814,0.1050856521,0.0500420457
0.4869025113,0.1362474439,0.2741967438,0.1497746306,0.1357050935
0.6490571916,0.6775000034,0.2092748064,0.1238029146,0.1043637719
6.334397703,1.142418451,1.215877845,0.7172480357,0.3089628837
1.01417323,0.5913296058,0.3858786467,0.2021171199,0.08210209541
1.554957834,0.3692778605,0.4678111079,0.1244115204,0.04027280721
0.4169975722,0.6470410415,0.6175201697,0.08154157642,0.1228373692
0.4237492904,1.144334843,0.3728418341,0.07619357321,0.1119901849
14.16439192,4.622903584,1.048340502,0.9411721005,0.3162865448
1.932267449,1.348989287,0.8338815636,0.2685096029,0.08664480385
1.554957834,0.3692778605,0.4678111079,0.1244115204,0.04027280721
0.4169975722,0.6470410415,0.6175201697,0.08154157642,0.1228373692
0.4237492904,1.144334843,0.3728418341,0.07619357321,0.1119901849
14.16439192,4.622903584,1.048340502,0.9411721005,0.3162865448
1.932267449,1.348989287,0.8338815636,0.2685096029,0.08664480385
1.554957834,0.3692778605,0.4678111079,0.1244115204,0.04027280721
0.4169975722,0.6470410415,0.6175201697,0.08154157642,0.1228373692
0.4237492904,1.144334843,0.3728418341,0.07619357321,0.1119901849
14.16439192,4.622903584,1.048340502,0.9411721005,0.3162865448
1.932267449,1.348989287,0.8338815636,0.2685096029,0.08664480385
1.554957834,0.3692778605,0.4678111079,0.1244115204,0.04027280721
0.4169975722,0.6470410415,0.6175201697,0.08154157642,0.1228373692
0.4237492904,1.144334843,0.3728418341,0.07619357321,0.1119901849
14.16439192,4.622903584,1.048340502,0.9411721005,0.3162865448
1.932267449,1.348989287,0.8338815636,0.2685096029,0.08664480385
1.554957834,0.3692778605,0.4678111079,0.1244115204,0.04027280721
0.4169975722,0.6470410415,0.6175201697,0.08154157642,0.1228373692
0.4237492904,1.144334843,0.3728418341,0.07619357321,0.1119901849
14.16439192,4.622903584,1.048340502,0.9411721005,0.3162865448
1.932267449,1.348989287,0.8338815636,0.2685096029,0.08664480385
0.4556565816,0.4697088319,0.3817407224,0.1148125307,0.05395000253
0.5817706546,0.8166815966,0.8061926273,0.1458383747,0.1195582233
0.5838835011,1.07211081,0.4821963528,0.1018512303,0.09014659311
7.078312256,6.198203584,1.914828671,0.9495634704,0.2751006768
2.176445161,1.375734072,0.8544635382,0.231583737,0.1274304844
0.4556565816,0.4697088319,0.3817407224,0.1148125307,0.05395000253
0.5817706546,0.8166815966,0.8061926273,0.1458383747,0.1195582233
0.5838835011,1.07211081,0.4821963528,0.1018512303,0.09014659311
7.078312256,6.198203584,1.914828671,0.9495634704,0.2751006768
2.176445161,1.375734072,0.8544635382,0.231583737,0.1274304844
0.4556565816,0.4697088319,0.3817407224,0.1148125307,0.05395000253
0.5817706546,0.8166815966,0.8061926273,0.1458383747,0.1195582233
0.5838835011,1.07211081,0.4821963528,0.1018512303,0.09014659311
7.078312256,6.198203584,1.914828671,0.9495634704,0.2751006768
2.176445161,1.375734072,0.8544635382,0.231583737,0.1274304844
0.4556565816,0.4697088319,0.3817407224,0.1148125307,0.05395000253
0.5817706546,0.8166815966,0.8061926273,0.1458383747,0.1195582233
0.5838835011,1.07211081,0.4821963528,0.1018512303,0.09014659311
7.078312256,6.198203584,1.914828671,0.9495634704,0.2751006768
2.176445161,1.375734072,0.8544635382,0.231583737,0.1274304844
0.4556565816,0.4697088319,0.3817407224,0.1148125307,0.05395000253
0.5817706546,0.8166815966,0.8061926273,0.1458383747,0.1195582233
0.5838835011,1.07211081,0.4821963528,0.1018512303,0.09014659311
7.078312256,6.198203584,1.914828671,0.9495634704,0.2751006768
2.176445161,1.375734072,0.8544635382,0.231583737,0.1274304844
0.4084111054,0.4179711228,0.1362245291,0.0726231541,0.06553268949
1.032974132,0.1811250711,0.4400975765,0.1275894547,0.1257685285
0.5395220744,0.3138827445,0.3101359806,0.1171887444,0.08491143602
3.379944315,3.900194267,2.100291771,0.745282685,0.2754362075
1.710845838,1.152120455,0.4137339429,0.1292162756,0.1748437812
0.4084111054,0.4179711228,0.1362245291,0.0726231541,0.06553268949
1.032974132,0.1811250711,0.4400975765,0.1275894547,0.1257685285
0.5395220744,0.3138827445,0.3101359806,0.1171887444,0.08491143602
3.379944315,3.900194267,2.100291771,0.745282685,0.2754362075
1.710845838,1.152120455,0.4137339429,0.1292162756,0.1748437812
0.4084111054,0.4179711228,0.1362245291,0.0726231541,0.06553268949
1.032974132,0.1811250711,0.4400975765,0.1275894547,0.1257685285
