Theta,Alpha,Low_beta,High_beta,Gamma
,,,,
87.96640815,31.33825284,18.74671463,10.67077872,4.762291572
100.8314908,34.12618951,18.48964516,7.981817951,2.5448019
95.56295841,37.75724193,30.25320613,21.17266967,16.53819655
86.37476283,30.17317023,19.49711308,10.66122649,6.318052347
91.72428925,36.88929848,26.59840076,20.10216105,15.22188672
87.96640815,31.33825284,18.74671463,10.67077872,4.762291572
100.8314908,34.12618951,18.48964516,7.981817951,2.5448019
95.56295841,37.75724193,30.25320613,21.17266967,16.53819655
86.37476283,30.17317023,19.49711308,10.66122649,6.318052347
91.72428925,36.88929848,26.59840076,20.10216105,15.22188672
87.96640815,31.33825284,18.74671463,10.67077872,4.762291572
100.8314908,34.12618951,18.48964516,7.981817951,2.5448019
95.56295841,37.75724193,30.25320613,21.17266967,16.53819655
86.37476283,30.17317023,19.49711308,10.66122649,6.318052347
91.72428925,36.88929848,26.59840076,20.10216105,15.22188672
87.96640815,31.33825284,18.74671463,10.67077872,4.762291572
100.8314908,34.12618951,18.48964516,7.981817951,2.5448019
95.56295841,37.75724193,30.25320613,21.17266967,16.53819655
86.37476283,30.17317023,19.49711308,10.66122649,6.318052347
91.72428925,36.88929848,26.59840076,20.10216105,15.22188672
87.96640815,31.33825284,18.74671463,10.67077872,4.762291572
100.8314908,34.12618951,18.48964516,7.981817951,2.5448019
95.56295841,37.75724193,30.25320613,21.17266967,16.53819655
86.37476283,30.17317023,19.49711308,10.66122649,6.318052347
91.72428925,36.88929848,26.59840076,20.10216105,15.22188672
7.391392539,9.427797637,3.76606618,5.379214789,2.18948725
3.980586114,4.316813939,2.365028284,1.116907674,0.7712952796
5.669181353,2.440308143,4.931772067,3.623206774,2.012328894
8.575601431,6.903658202,5.928459308,5.06670528,4.732660007
7.422747815,9.455238875,3.538375456,5.337873771,2.1467499
7.391392539,9.427797637,3.76606618,5.379214789,2.18948725
3.980586114,4.316813939,2.365028284,1.116907674,0.7712952796
5.669181353,2.440308143,4.931772067,3.623206774,2.012328894
8.575601431,6.903658202,5.928459308,5.06670528,4.732660007
7.422747815,9.455238875,3.538375456,5.337873771,2.1467499
7.391392539,9.427797637,3.76606618,5.379214789,2.18948725
3.980586114,4.316813939,2.365028284,1.116907674,0.7712952796
5.669181353,2.440308143,4.931772067,3.623206774,2.012328894
8.575601431,6.903658202,5.928459308,5.06670528,4.732660007
7.422747815,9.455238875,3.538375456,5.337873771,2.1467499
7.391392539,9.427797637,3.76606618,5.379214789,2.18948725
3.980586114,4.316813939,2.365028284,1.116907674,0.7712952796
5.669181353,2.440308143,4.931772067,3.623206774,2.012328894
8.575601431,6.903658202,5.928459308,5.06670528,4.732660007
7.422747815,9.455238875,3.538375456,5.337873771,2.1467499
6.427026139,6.344748296,2.985748236,3.768363364,2.246846551
1.927653361,2.857913721,1.29281145,0.9733438755,0.6132624684
2.878292827,1.643469458,2.51774649,2.799776881,1.47818654
4.611092121,5.667655832,4.27762937,5.594688422,4.835136495
5.504713627,6.40912169,2.986904587,3.829448453,2.329927124
6.427026139,6.344748296,2.985748236,3.768363364,2.246846551
1.927653361,2.857913721,1.29281145,0.9733438755,0.6132624684
2.878292827,1.643469458,2.51774649,2.799776881,1.47818654
4.611092121,5.667655832,4.27762937,5.594688422,4.835136495
5.504713627,6.40912169,2.986904587,3.829448453,2.329927124
6.427026139,6.344748296,2.985748236,3.768363364,2.246846551
1.927653361,2.857913721,1.29281145,0.9733438755,0.6132624684
2.878292827,1.643469458,2.51774649,2.799776881,1.47818654
4.611092121,5.667655832,4.27762937,5.594688422,4.835136495
5.504713627,6.40912169,2.986904587,3.829448453,2.329927124
6.427026139,6.344748296,2.985748236,3.768363364,2.246846551
